gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,FORMAL_CHARGE,CHIRAL_CENTER_COUNT
OPRK1,agonist,hydromorphone,0.71,Kappa-type opioid receptor,GPCR,8.55,True,285.3377,1.6227496759764108,True,3,3,1,0,49.77,0,1,4,5,40,0,4.0
OPRD1,agonist,hydromorphone,1.51,Delta-type opioid receptor,GPCR,7.42,True,285.3377,1.6227496759764108,True,3,3,1,0,49.77,0,1,4,5,40,0,4.0
ADRB3,antagonist,alprenolol,0.55,Beta-3 adrenergic receptor,GPCR,6.86,False,249.3486,2.6927899056666664,True,4,1,0,0,41.49,8,2,3,1,41,0,1.0
ADRA1B,antagonist,prazosin,0.43,Alpha-1B adrenergic receptor,GPCR,9.08,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
ADRA2B,antagonist,prazosin,0.33,Alpha-2B adrenergic receptor,GPCR,7.89,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
KCNH2,inhibitor,prazosin,0.04,Potassium voltage-gated channel subfamily H member 2,Ion channel,5.8,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
ADRA1D,antagonist,prazosin,0.43,Alpha-1D adrenergic receptor,GPCR,9.7,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
ADRA1A,antagonist,prazosin,0.29,Alpha-1A adrenergic receptor,GPCR,10.4,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
ADRA2A,binder,prazosin,0.16,Alpha-2A adrenergic receptor,GPCR,6.68,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
ADRA2C,antagonist,prazosin,0.04,Alpha-2C adrenergic receptor,GPCR,7.62,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0,0.0
