gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,CHIRAL_CENTER_COUNT
OPRK1,agonist,hydromorphone,0.71,Kappa-type opioid receptor,GPCR,8.55,True,285.3377,1.6227496759764108,True,3,3,1,0,49.77,0,1,4,5,40,4.0
OPRD1,agonist,hydromorphone,1.51,Delta-type opioid receptor,GPCR,7.42,True,285.3377,1.6227496759764108,True,3,3,1,0,49.77,0,1,4,5,40,4.0
ADRB3,antagonist,alprenolol,0.55,Beta-3 adrenergic receptor,GPCR,6.86,False,249.3486,2.6927899056666664,True,4,1,0,0,41.49,8,2,3,1,41,1.0
ADRA1B,antagonist,prazosin,0.43,Alpha-1B adrenergic receptor,GPCR,9.08,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
ADRA2B,antagonist,prazosin,0.33,Alpha-2B adrenergic receptor,GPCR,7.89,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
KCNH2,inhibitor,prazosin,0.04,Potassium voltage-gated channel subfamily H member 2,Ion channel,5.8,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
ADRA1D,antagonist,prazosin,0.43,Alpha-1D adrenergic receptor,GPCR,9.7,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
ADRA1A,antagonist,prazosin,0.29,Alpha-1A adrenergic receptor,GPCR,10.4,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
ADRA2A,other,prazosin,0.16,Alpha-2A adrenergic receptor,GPCR,6.68,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
ADRA2C,antagonist,prazosin,0.04,Alpha-2C adrenergic receptor,GPCR,7.62,True,383.4011,1.6505164626666664,True,7,0,1,4,106.95,4,1,8,4,49,0.0
CHRM3,antagonist,ipratropium,0.27,Muscarinic acetylcholine receptor M3,GPCR,9.2924,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,5.0
CHRM2,antagonist,ipratropium,0.37,Muscarinic acetylcholine receptor M2,GPCR,8.8239,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,5.0
CHRM5,antagonist,ipratropium,0.08,Muscarinic acetylcholine receptor M5,GPCR,8.7696,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,5.0
CHRM4,antagonist,ipratropium,0.08,Muscarinic acetylcholine receptor M4,GPCR,9.1805,True,332.463,-1.8177126204717453,True,3,0,2,2,46.53,5,1,3,3,54,5.0
ESR1,agonist,diethylstilbestrol,0.1,Estrogen receptor,Receptor,9.66,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0.0
ESR2,agonist,diethylstilbestrol,0.07,Estrogen receptor beta,Receptor,9.2,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0.0
ESRRG,agonist,diethylstilbestrol,0.93,Estrogen-related receptor gamma,Receptor,5.3,True,268.356,5.193882748,False,9,6,1,5,40.46,4,2,2,2,40,0.0
FLT4,inhibitor,lenvatinib,0.27,Vascular endothelial growth factor receptor 3,Kinase,8.28399658203125,True,426.86,2.5216067953333337,True,10,8,0,6,115.57,6,3,5,4,49,0.0
KIT,inhibitor,lenvatinib,0.16,Mast/stem cell growth factor receptor Kit,Kinase,7.0,True,426.86,2.5216067953333337,True,10,8,0,6,115.57,6,3,5,4,49,0.0
PDGFRA,inhibitor,lenvatinib,0.18,Platelet-derived growth factor receptor alpha,Kinase,7.2924299240112305,True,426.86,2.5216067953333337,True,10,8,0,6,115.57,6,3,5,4,49,0.0
AR,antagonist,mifepristone,0.01,Androgen receptor,Receptor,8.33,True,429.5937,5.133287652333334,False,4,5,0,5,40.54,2,1,3,5,67,5.0
NR1I2,agonist,mifepristone,0.06,Nuclear receptor subfamily 1 group I member 2,Receptor,5.0,True,429.5937,5.133287652333334,False,4,5,0,5,40.54,2,1,3,5,67,5.0
PTGER3,agonist,dinoprostone,2.67,Prostaglandin E2 receptor EP3 subtype,GPCR,9.48,True,352.4651,3.2252701369999994,True,5,0,0,6,94.83,10,3,4,1,57,4.0
PTGDR2,agonist,dinoprostone,0.55,Prostaglandin D2 receptor 2,GPCR,5.3,True,352.4651,3.2252701369999994,True,5,0,0,6,94.83,10,3,4,1,57,4.0
HTR6,antagonist,zotepine,0.14,5-hydroxytryptamine receptor 6,GPCR,8.3,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR7,antagonist,zotepine,0.11,5-hydroxytryptamine receptor 7,GPCR,8.4,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR2C,antagonist,zotepine,0.03,5-hydroxytryptamine receptor 2C,GPCR,8.54,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
DRD4,antagonist,zotepine,0.05,D(4) dopamine receptor,GPCR,7.41,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR1E,antagonist,zotepine,0.1,5-hydroxytryptamine receptor 1E,GPCR,6.5,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR1D,antagonist,zotepine,0.05,5-hydroxytryptamine receptor 1D,GPCR,9.3,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR1A,antagonist,zotepine,0.02,5-hydroxytryptamine receptor 1A,GPCR,6.48,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
DRD2,antagonist,zotepine,0.05,D(2) dopamine receptor,GPCR,7.96,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
SLC6A2,antagonist,zotepine,0.09,Sodium-dependent noradrenaline transporter,Transporter,7.15,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
DRD1,antagonist,zotepine,0.02,D(1A) dopamine receptor,GPCR,7.54,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HRH1,antagonist,zotepine,0.02,Histamine H1 receptor,GPCR,9.21,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
DRD3,antagonist,zotepine,0.04,D(3) dopamine receptor,GPCR,8.19,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
HTR1B,antagonist,zotepine,0.05,5-hydroxytryptamine receptor 1B,GPCR,7.2,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
SLC6A4,antagonist,zotepine,0.08,Sodium-dependent serotonin transporter,Transporter,6.82102298736572,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
ADRA2B,antagonist,zotepine,0.04,Alpha-2B adrenergic receptor,GPCR,8.2725772857666,True,331.86,4.510560188,True,7,2,0,0,12.47,4,0,3,3,40,0.0
KIT,inhibitor,sorafenib,0.26,Mast/stem cell growth factor receptor Kit,Kinase,7.8,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
FLT3,antagonist,sorafenib,0.29,Receptor-type tyrosine-protein kinase FLT3,Kinase,8.35,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
FLT1,inhibitor,sorafenib,0.07,Vascular endothelial growth factor receptor 1,Kinase,7.51,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
DDR2,inhibitor,sorafenib,0.07,Discoidin domain-containing receptor 2,Kinase,8.18,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
BRAF,inhibitor,sorafenib,0.26,Serine/threonine-protein kinase B-raf,Kinase,7.66,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
CDK19,inhibitor,sorafenib,0.06,Cyclin-dependent kinase 19,Kinase,6.6,True,464.825,4.343329760666666,True,10,11,0,6,92.35,5,3,4,3,48,0.0
HTR2C,antagonist,duloxetine,0.02,5-hydroxytryptamine receptor 2C,GPCR,6.0,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,1.0
SLC6A3,inhibitor,duloxetine,0.2,Sodium-dependent dopamine transporter,Transporter,6.62,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,1.0
HTR6,antagonist,duloxetine,0.05,5-hydroxytryptamine receptor 6,GPCR,6.4,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,1.0
HTR2A,antagonist,duloxetine,0.01,5-hydroxytryptamine receptor 2A,GPCR,6.3,True,297.415,4.197729191333333,True,3,6,2,1,21.26,6,1,3,3,40,1.0
ADRB2,agonist,salmeterol,1.32,Beta-2 adrenergic receptor,GPCR,9.41,True,415.5656,3.6146962067229897,True,3,4,2,3,81.95,10,4,5,2,67,1.0
ADRB3,other,salmeterol,0.44,Beta-3 adrenergic receptor,GPCR,6.0,True,415.5656,3.6146962067229897,True,3,4,2,3,81.95,10,4,5,2,67,1.0
DRD1,antagonist,asenapine,0.06,D(1A) dopamine receptor,GPCR,8.7,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR2A,antagonist,asenapine,0.08,5-hydroxytryptamine receptor 2A,GPCR,9.61,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
DRD3,antagonist,asenapine,0.13,D(3) dopamine receptor,GPCR,9.06,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR2C,antagonist,asenapine,0.1,5-hydroxytryptamine receptor 2C,GPCR,9.93,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR2B,antagonist,asenapine,0.13,5-hydroxytryptamine receptor 2B,GPCR,9.8,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR6,antagonist,asenapine,0.25,5-hydroxytryptamine receptor 6,GPCR,9.22,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HRH1,antagonist,asenapine,0.07,Histamine H1 receptor,GPCR,9.0,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR5A,antagonist,asenapine,0.61,5-hydroxytryptamine receptor 5A,GPCR,8.6,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
ADRB2,antagonist,asenapine,0.05,Beta-2 adrenergic receptor,GPCR,5.3010299960000005,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR1B,agonist,asenapine,0.17,5-hydroxytryptamine receptor 1B,GPCR,8.4,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR1E,agonist,asenapine,0.07,5-hydroxytryptamine receptor 1E,GPCR,8.0,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
ADRA2A,antagonist,asenapine,0.06,Alpha-2A adrenergic receptor,GPCR,8.187086642999999,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR1D,agonist,asenapine,0.04,5-hydroxytryptamine receptor 1D,GPCR,8.4,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
ADRB1,antagonist,asenapine,0.06,Beta-1 adrenergic receptor,GPCR,5.3010299960000005,True,401.84,3.7246065736666663,True,20,4,2,0,12.47,0,0,2,4,36,2.0
HTR2A,antagonist,promazine,0.13,5-hydroxytryptamine receptor 2A,GPCR,7.7959,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0.0
DRD2,antagonist,promazine,0.12,D(2) dopamine receptor,GPCR,6.7037,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0.0
CHRM1,antagonist,promazine,0.12,Muscarinic acetylcholine receptor M1,GPCR,6.825,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0.0
DRD3,antagonist,promazine,0.03,D(3) dopamine receptor,GPCR,6.7986,True,284.4190000000001,3.930955566,True,6,5,0,0,6.48,4,0,3,3,40,0.0
JAK2,inhibitor,ruxolitinib,2.91,Tyrosine-protein kinase JAK2,Kinase,10.44,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,1.0
TYK2,inhibitor,ruxolitinib,0.14,Non-receptor tyrosine-protein kinase TYK2,Kinase,9.3,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,1.0
JAK1,inhibitor,ruxolitinib,1.86,Tyrosine-protein kinase JAK1,Kinase,10.05,True,306.365,2.4793218340000003,True,2,1,0,0,83.18,4,1,5,4,41,1.0
PDGFRB,inhibitor,pazopanib,0.1,Platelet-derived growth factor receptor beta,Kinase,8.7,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
PDGFRA,inhibitor,pazopanib,0.11,Platelet-derived growth factor receptor alpha,Kinase,8.31,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
KIT,inhibitor,pazopanib,0.1,Mast/stem cell growth factor receptor Kit,Kinase,8.74,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
FGFR1,inhibitor,pazopanib,0.05,Fibroblast growth factor receptor 1,Kinase,6.0,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
FGFR3,inhibitor,pazopanib,0.12,Fibroblast growth factor receptor 3,Kinase,6.21,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
ITK,inhibitor,pazopanib,0.11,Tyrosine-protein kinase ITK/TSK,Kinase,7.192569376253709,True,437.51800000000003,3.548707246333334,True,10,4,0,4,119.03,5,2,8,4,54,0.0
FLT1,inhibitor,vandetanib,0.06,Vascular endothelial growth factor receptor 1,Kinase,6.59,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
SRC,inhibitor,vandetanib,0.01,Proto-oncogene tyrosine-protein kinase Src,Kinase,7.15,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
FLT4,inhibitor,vandetanib,0.06,Vascular endothelial growth factor receptor 3,Kinase,6.52,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EGFR,inhibitor,vandetanib,0.15,Epidermal growth factor receptor,Kinase,8.32,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
EPHB1,inhibitor,vandetanib,0.26,Ephrin type-B receptor 1,Kinase,6.54,True,475.35400000000004,4.542964749666666,True,5,3,2,4,59.51,6,1,6,4,54,0.0
